Chromosome,Start,End,Bins,Copy number
1,764788,87109267,79633,2.5
1,87109268,120217058,30632,2.0
1,144101324,222713034,71255,4.0
1,222713035,222867750,151,6.0
1,222867751,247184012,22335,4.0
10,92786,7099310,6452,2.0
10,7099311,33427378,24759,2.5
10,33427379,89691534,44264,2.0
10,89691535,89701721,10,0.0
10,89701722,135297521,42882,2.0
11,1067507,36304040,32598,2.5
11,36304041,49000314,11575,3.0
11,49000315,49015931,13,2.0
11,49038693,77297651,20663,3.0
11,77333844,77348109,12,2.0
11,77348110,80464410,3086,3.0
11,80464411,80771230,305,2.0
11,80771231,85686828,4726,3.0
11,85707807,134442816,45814,2.5
12,1035195,7837046,6323,3.0
12,7837047,7876214,37,2.0
12,7876215,8261719,326,3.0
12,8283380,8322357,34,2.0
12,8402555,31102644,21026,3.0
12,31164465,31245446,37,2.0
12,31245447,62211053,25759,3.0
12,62211054,62395970,130,2.0
12,62430690,113009964,47831,3.0
12,113009965,113104104,94,4.0
12,113104105,131270601,16927,3.0
13,18928015,113089128,88180,3.0
14,19504384,21909583,2267,3.0
14,21909584,22073928,164,4.0
14,22073929,105341040,78410,3.0
15,20308857,20600490,266,4.0
15,20600491,20772995,71,3.0
15,21175042,21213381,38,4.0
15,21237833,21259475,21,5.0
15,21269539,21382109,112,6.0
15,21382110,21542809,135,4.0
15,21542810,82601861,55009,2.0
15,82601862,82614725,12,4.0
15,82709578,82738893,22,3.0
15,82876689,100220766,16246,4.0
16,29267,33762167,26819,3.5
16,34058023,57183253,10846,2.0
16,57183254,57222570,39,0.0
16,57222571,77487698,18718,2.0
16,77487699,77652412,145,1.0
16,77652413,87812159,9501,2.0
17,38,15355069,14155,3.0
17,15377683,15493209,11,2.0
17,15493210,15510734,17,3.0
17,15510735,15695683,48,2.0
17,15723414,18222751,2236,3.0
17,18473046,18693407,40,2.0
17,18693408,20471849,1213,3.0
17,20471850,20490413,14,2.0
17,20542348,27291551,4149,3.0
17,27291552,27338474,43,2.0
17,27338475,40876647,11974,3.0
17,40876648,40932406,21,2.0
17,41064175,42898493,1218,3.0
17,42932711,43025968,13,2.0
17,43025969,51060146,7774,3.0
17,51060147,51161231,101,4.0
17,51161232,57882551,6184,3.0
17,57882552,57941749,35,2.0
17,57941750,60216795,2159,3.0
17,60216796,60279868,27,2.0
17,60353616,77553076,15932,3.0
17,77553077,77579099,26,4.0
17,77598428,77635652,37,3.0
18,50544,9859059,9310,2.0
18,9859060,76116310,59545,2.5
19,1021378,14254865,11776,3.0
19,14254866,14272274,16,2.0
19,14272275,59405611,31943,3.0
19,59428586,59444013,12,2.0
19,59444014,62796585,2898,3.0
2,9466,61960135,58552,3.0
2,61960136,62010354,50,2.0
2,62010355,97549275,25603,3.0
2,97549276,97614799,15,2.0
2,97614800,108699016,10262,3.0
2,108699017,108744387,32,2.0
2,108744388,112185583,1653,3.0
2,112306575,112325579,15,2.0
2,112349726,130499687,16899,3.0
2,130619437,130638842,18,2.0
2,130638843,130660680,21,3.0
2,130682628,130701607,15,2.0
2,130701608,131900016,687,3.0
2,131920748,131957494,11,2.0
2,131957495,131975400,17,3.0
2,131975401,131994669,18,2.0
2,132016729,132332306,237,3.0
2,132332307,132404484,39,2.0
2,132404485,218170221,80969,3.0
2,218170222,218301796,129,4.0
2,218301797,224598117,6131,3.0
2,224598118,224795758,197,4.0
2,224795759,241740316,15842,3.0
20,1018505,14910835,13298,4.0
20,14910836,14948101,37,3.0
20,14948102,14961101,13,2.0
20,14961102,38808856,18915,4.0
20,38808857,38960912,152,5.0
20,38960913,62379890,22006,4.0
21,14304884,14319850,13,2.0
21,14319851,46917267,31152,3.0
22,15352921,15429033,32,4.0
22,15450227,15500095,25,5.0
22,15681547,19364176,2671,4.0
22,19364177,19404938,28,3.0
22,19404939,20927323,999,4.0
22,20970020,21000369,21,3.0
22,21000370,23321696,1677,4.0
22,23343494,23404453,19,3.0
22,23404454,31431172,7689,4.0
22,31431173,31594685,163,5.0
22,31594686,32088745,489,4.0
22,32088746,32170337,81,3.0
22,32170338,48579317,15548,4.0
3,1045777,24541025,22223,2.0
3,24541026,25305836,741,10.0
3,25305837,25373573,66,12.0
3,25374638,26406440,993,8.0
3,26408087,26640121,201,12.0
3,26640122,47750492,20074,4.0
3,47750493,47817341,66,3.0
3,47817342,48883817,1012,4.0
3,48883818,48923335,39,3.0
3,48942803,60107246,10725,4.0
3,60107247,60179231,52,3.0
3,60179232,60846362,639,4.0
3,60846363,60987320,137,3.0
3,60987321,64040044,2938,4.0
3,64040045,64266363,226,5.0
3,64285434,125251486,51117,4.0
3,125251487,125456654,203,5.0
3,125456655,127048011,1482,4.0
3,127048012,127137299,78,3.0
3,127137300,131217795,3864,4.0
3,131289127,131321274,29,3.0
3,131414373,198427397,56052,4.0
4,63094,9730611,8316,2.0
4,9730612,9941735,171,3.0
4,9941736,33514496,22237,2.0
4,33514497,33526528,11,3.0
4,33545748,48344650,14194,2.0
4,53365007,78335627,21983,4.0
4,78335628,78562936,205,5.0
4,78562937,119556076,38505,4.0
4,119591121,119722808,50,3.0
4,119722809,120478970,627,4.0
4,120478971,120612916,92,3.0
4,120612917,129151451,8094,4.0
4,129151452,129263449,91,3.0
4,129263450,145013800,14697,4.0
4,145042571,145193084,80,3.0
4,145193085,190245936,42107,4.0
5,1087458,28825723,25701,2.0
5,28849489,28999028,125,1.0
5,28999029,179827175,134993,2.0
6,1015323,26768320,24456,4.0
6,26866215,65356325,30881,3.5
6,65356326,169886713,98590,2.5
7,1045838,5128363,3723,4.0
7,5128364,5183488,34,3.0
7,5183489,5240712,57,4.0
7,5240713,5336018,93,3.0
7,5336019,5792402,433,4.0
7,5792403,6018550,102,3.0
7,6018551,6287183,248,4.0
7,6287184,6382587,94,3.0
7,6382588,6737821,296,4.0
7,6737822,6947307,13,3.0
7,6947308,104271635,81772,4.0
7,104271636,104399099,123,6.0
7,104399100,125534679,20296,4.0
7,125534680,125886293,327,2.0
7,125886294,125955706,68,4.0
7,125955707,127889222,1863,6.0
7,127889223,128060732,115,5.0
7,128091436,143498060,14346,6.0
7,143715616,149214118,5182,4.0
7,149282403,149634842,90,3.0
7,149634843,150379155,725,4.0
7,150379156,158771189,7269,2.0
8,153201,146262658,131093,3.5
9,200871,28050245,26340,2.0
9,28050246,28147619,89,1.0
9,28147620,30330083,2027,2.0
9,30330084,140139368,73190,3.5
X,105073,114046817,8070,1.0
X,114112404,114299959,358,2.0
X,114376344,154884814,2617,1.0
